ticker,date,R,log_illiq
AAPL,2005-02-28,0.1541886981783603,-0.08071905200101526
AAPL,2005-03-31,-0.07376583792178659,-0.1413537910390552
AAPL,2005-04-30,-0.14459742830510774,0.06030953574163789
AAPL,2005-05-31,0.0976780957251128,0.19950123024043265
AAPL,2005-06-30,-0.07709220573012505,-0.04372702480896251
AAPL,2005-07-31,0.1472576608351001,0.055022265130737935
AAPL,2005-08-31,0.0947771589051827,0.26275862267965877
AAPL,2005-09-30,0.13393157507929712,0.2610804342869706
AAPL,2005-10-31,0.0716133965646295,-1.092312021151244
AAPL,2005-11-30,0.16350813750364776,-0.18255419056817956
AAPL,2005-12-31,0.058279578154521026,-0.4540219990611547
AAPL,2006-01-31,0.04912817400961064,-2.0538493069342074
AAPL,2006-02-28,-0.09757732243409604,-0.6294329272285673
AAPL,2006-03-31,-0.08800720955945997,-0.896977477027324
AAPL,2006-04-30,0.11537105940310523,-0.5071960712924515
AAPL,2006-05-31,-0.16354760411888483,0.2953552734551046
AAPL,2006-06-30,-0.042727358945838144,-0.5831493616019863
AAPL,2006-07-31,0.17114245035598827,-0.4845800904979498
AAPL,2006-08-31,-0.001620129420989515,-4.428279549969769
AAPL,2006-09-30,0.12624700311185355,-0.25161941218538786
AAPL,2006-10-31,0.05189033754725222,-0.9675294915041484
AAPL,2006-11-30,0.12264953708625762,-0.1747660769285595
AAPL,2006-12-31,-0.07731883257229616,-0.7475762814835996
AAPL,2007-01-31,0.010435710038856832,-2.811530273682166
AAPL,2007-02-28,-0.013150281934228904,-2.234689838759884
AAPL,2007-03-31,0.09357874332533553,-0.11790097472738381
AAPL,2007-04-30,0.07153709694815628,-1.1514317276468553
AAPL,2007-05-31,0.1937341119021634,-0.03239328395784824
AAPL,2007-06-30,0.006988913668491588,-3.5360060091286023
AAPL,2007-07-31,0.07663354454253893,-1.1802456791691824
AAPL,2007-08-31,0.049743413252305954,-1.468182678264533
AAPL,2007-09-30,0.1027796002036355,-1.3526840602463146
